critical_issues,serious_issues,moderate_issues,minor_issues,total_elements,wcag_level,compliance_score
0,10,47,21,637,2,88.61852433281004
0,34,83,7,947,0,85.480464625132
18,7,90,122,702,1,71.86609686609687
1,2,5,19,687,0,97.16157205240175
11,13,90,77,812,1,79.06403940886699
5,12,8,38,949,0,94.20442571127502
3,44,56,36,645,1,77.36434108527132
10,31,30,74,483,2,72.36024844720497
16,33,20,117,420,1,61.904761904761905
5,44,89,103,609,0,64.44991789819376
4,18,39,30,940,1,90.53191489361703
19,37,44,122,127,0,0.0
1,15,76,53,591,0,78.51099830795262
5,1,48,33,334,0,77.24550898203593
10,39,86,121,697,2,67.71879483500717
15,16,19,112,189,1,31.746031746031747
15,33,91,61,602,0,66.61129568106313
0,41,16,22,331,2,73.26283987915409
8,15,27,45,611,0,85.59738134206219
5,37,40,55,307,1,56.67752442996743
15,1,65,134,872,2,81.25
2,1,24,117,409,0,78.4841075794621
19,25,57,130,489,0,59.61145194274028
3,12,40,112,319,0,62.38244514106583
18,46,5,43,183,1,28.142076502732237
2,30,74,127,795,2,76.54088050314465
18,33,37,107,689,2,74.45573294629898
19,38,5,16,153,2,29.411764705882348
6,2,44,58,815,0,89.20245398773007
19,7,74,137,144,2,0.0
8,22,13,98,898,0,87.6391982182628
0,13,65,83,778,1,83.80462724935732
7,26,39,145,622,2,73.55305466237942
6,28,2,44,529,0,85.25519848771266
17,38,98,107,829,2,70.74788902291918
7,38,96,61,290,2,31.896551724137936
0,0,23,58,62,1,16.129032258064512
10,16,18,137,196,2,33.418367346938766
17,40,17,10,989,1,88.27098078867543
9,29,63,101,801,2,78.15230961298377
2,12,87,69,650,2,77.92307692307692
6,20,34,122,144,2,4.861111111111114
15,18,61,33,876,2,84.64611872146119
15,18,0,100,342,2,68.71345029239765
19,24,99,144,74,2,0.0
16,21,24,103,321,1,56.69781931464175
1,30,44,39,554,1,80.05415162454874
0,16,48,18,215,0,62.32558139534884
15,22,97,66,988,2,80.46558704453442
11,31,88,81,811,1,75.70900123304563
4,9,15,63,136,2,50.0
4,9,97,82,703,2,77.31152204836415
8,35,92,46,695,1,73.59712230215828
8,7,18,5,840,2,94.4047619047619
2,19,22,15,687,1,90.97525473071325
18,31,82,145,877,1,72.97605473204105
15,49,24,38,540,0,72.87037037037037
15,13,15,112,957,0,87.4085684430512
2,49,53,139,190,0,0.0
19,27,72,137,917,0,76.11777535441658
0,45,0,70,152,2,32.56578947368422
19,23,41,109,275,2,38.90909090909091
10,14,18,54,951,0,90.95688748685595
16,21,96,128,624,1,64.1826923076923
7,29,33,48,343,1,66.61807580174927
3,3,79,20,945,1,89.47089947089947
5,12,54,36,355,1,71.83098591549296
7,22,17,115,303,2,59.900990099009896
19,7,33,23,229,1,59.38864628820961
2,17,88,54,89,1,0.0
15,11,44,24,825,0,87.57575757575758
2,30,5,134,750,1,83.86666666666667
17,13,20,126,569,2,76.01054481546574
13,33,69,92,665,1,71.35338345864662
17,17,95,93,786,1,74.42748091603053
1,33,47,70,595,2,77.56302521008404
2,10,38,121,285,0,58.771929824561404
15,40,30,23,512,2,74.31640625
8,11,9,10,277,0,83.2129963898917
3,48,29,72,749,1,80.90787716955941
0,14,17,11,874,0,95.0228832951945
3,30,59,34,532,0,76.12781954887218
0,48,87,140,479,0,52.19206680584551
13,28,72,22,71,1,0.0
15,25,94,82,392,0,48.34183673469388
19,17,14,87,89,0,0.0
7,31,3,79,222,1,53.6036036036036
6,21,62,96,488,2,68.54508196721312
2,37,39,139,228,2,26.31578947368422
16,16,8,33,647,2,87.5579598145286
0,22,8,74,182,1,57.142857142857146
15,23,25,127,400,1,61.75
11,49,3,140,574,2,70.64459930313589
18,7,80,30,589,0,75.97623089983023
13,40,15,129,555,2,70.18018018018017
5,5,14,102,133,1,37.96992481203007
5,4,98,14,513,0,76.41325536062378
12,43,51,56,879,0,80.94425483503981
18,28,68,74,910,1,79.8901098901099
7,27,4,33,392,0,80.86734693877551
1,10,19,102,329,2,73.55623100303951
0,0,78,74,915,1,87.43169398907104
14,42,17,28,312,1,60.8974358974359
0,18,1,15,215,1,83.48837209302326
4,8,92,76,342,1,56.140350877192986
15,26,12,36,558,0,82.25806451612902
18,33,3,80,629,1,79.57074721780604
3,43,41,148,275,1,32.54545454545455
2,3,73,123,219,0,34.70319634703196
16,35,60,18,647,1,76.27511591962906
16,17,94,101,694,0,70.89337175792508
11,14,7,135,497,0,76.35814889336017
13,12,66,76,739,1,79.97293640054127
5,18,62,40,904,2,86.8362831858407
2,48,8,60,551,1,79.3103448275862
8,5,93,25,813,2,84.13284132841329
4,47,10,70,576,0,78.55902777777777
16,11,98,102,784,2,74.80867346938776
13,36,41,69,428,1,63.668224299065415
2,16,12,106,250,1,62.8
0,22,35,106,668,2,81.88622754491018
19,25,12,102,299,1,53.67892976588629
0,28,11,18,998,2,93.7875751503006
2,32,36,67,458,0,73.47161572052403
17,26,73,69,650,2,72.23076923076923
9,24,72,112,174,2,0.0
2,9,51,56,162,2,40.4320987654321
7,46,70,60,186,2,1.6129032258064484
13,22,1,91,808,0,86.9430693069307
17,20,55,29,545,0,75.50458715596329
14,20,59,126,727,0,75.24071526822559
1,42,22,114,199,2,27.63819095477386
9,12,39,5,924,0,91.61255411255411
1,36,63,17,392,1,67.47448979591837
16,32,84,9,994,0,83.04828973843058
7,23,22,91,629,2,81.55802861685214
0,43,28,138,782,1,79.34782608695653
8,10,77,76,832,2,82.45192307692308
10,16,89,100,370,1,50.54054054054054
15,3,50,83,871,2,85.53386911595867
6,46,68,51,975,2,82.1025641025641
9,24,94,30,910,1,82.08791208791209
2,29,88,144,581,0,64.28571428571428
17,8,30,109,338,1,61.3905325443787
12,20,49,92,538,1,72.30483271375465
6,19,19,52,541,1,84.19593345656192
3,18,54,144,661,1,75.94553706505295
12,18,80,85,301,1,42.35880398671097
19,11,1,1,126,2,55.55555555555556
0,36,24,85,696,2,82.6867816091954
7,41,12,132,441,0,65.19274376417233
13,16,91,3,461,0,69.08893709327549
15,36,69,5,222,1,29.954954954954957
13,47,66,148,924,0,74.4047619047619
11,38,57,117,250,0,22.200000000000003
18,27,98,88,266,1,17.85714285714286
14,40,81,13,425,2,58.705882352941174
1,34,74,55,769,2,79.90897269180755
1,46,83,80,635,0,69.44881889763779
18,47,63,148,60,2,0.0
16,17,68,45,848,2,82.54716981132076
19,13,82,143,817,0,74.17380660954711
9,34,85,15,61,1,0.0
5,43,58,119,941,0,79.596174282678
14,40,59,83,639,0,70.50078247261345
10,6,82,7,484,0,76.34297520661157
4,40,61,87,733,1,76.46657571623464
0,12,15,130,657,1,85.08371385083714
7,17,87,18,867,1,84.37139561707036
11,36,67,96,422,1,54.73933649289099
11,12,14,65,322,0,73.13664596273293
4,35,88,78,980,2,80.86734693877551
6,30,54,85,946,0,83.7737843551797
3,1,34,123,974,1,89.42505133470226
5,15,54,149,740,2,78.24324324324324
12,8,13,45,625,0,88.56
19,8,48,112,558,2,72.40143369175627
14,37,82,90,181,1,0.0
2,10,99,140,904,2,79.20353982300885
7,21,6,32,973,2,93.06269270298047
19,32,29,132,833,1,78.27130852340936
15,35,82,76,368,2,44.972826086956516
12,44,48,120,893,0,77.82754759238522
17,22,88,127,998,2,78.1062124248497
9,44,15,77,902,0,84.7560975609756
18,44,50,66,670,2,72.38805970149254
16,33,71,114,834,2,74.8800959232614
18,8,81,62,217,1,26.267281105990776
4,23,91,112,446,1,57.511210762331835
8,7,79,93,229,0,33.624454148471614
11,6,82,47,107,1,0.0
0,35,41,11,529,1,81.28544423440454
0,17,16,144,982,1,88.44195519348268
14,2,62,39,640,1,82.421875
1,27,44,84,509,1,74.75442043222003
15,5,76,56,110,0,0.0
7,43,6,86,418,0,69.49760765550239
12,43,26,83,170,1,8.235294117647058
0,20,9,120,768,1,87.109375
15,27,33,73,595,0,76.47058823529412
6,39,35,106,631,2,74.8811410459588
4,0,24,123,66,0,0.0
2,35,5,99,545,2,79.63302752293578
11,20,23,42,546,1,82.41758241758242
15,42,17,118,554,1,69.49458483754512
18,34,86,22,581,0,68.33046471600689
4,12,5,36,364,1,86.53846153846153
13,48,28,133,118,2,0.0
4,9,24,64,776,2,90.01288659793815
14,43,54,133,210,0,0.0
16,46,80,21,663,2,71.1161387631976
13,9,45,104,937,0,85.43223052294557
19,45,23,87,767,0,77.57496740547589
4,12,74,124,194,2,16.49484536082474
11,36,25,78,618,2,77.3462783171521
15,37,97,89,644,2,64.75155279503105
15,23,27,50,434,2,73.15668202764977
6,1,2,101,318,2,79.24528301886792
3,21,74,105,972,2,83.1275720164609
0,16,37,59,503,2,82.0079522862823
4,35,60,45,748,1,80.88235294117646
9,13,77,35,567,0,76.71957671957672
4,9,50,10,914,0,91.63019693654267
3,34,89,11,399,2,62.03007518796993
1,24,47,38,159,0,34.59119496855347
19,2,20,138,532,2,75.5639097744361
9,46,53,35,456,1,65.46052631578948
18,37,55,51,699,0,75.3934191702432
0,16,93,30,100,0,0.0
4,11,58,32,452,1,78.20796460176992
12,23,71,140,612,1,67.40196078431373
3,28,50,145,525,1,67.52380952380952
15,42,19,57,136,0,0.0
15,24,95,127,117,0,0.0
1,35,85,30,645,1,76.04651162790698
16,25,58,54,91,1,0.0
19,37,70,9,780,1,78.46153846153845
11,0,8,129,106,1,10.84905660377359
17,19,0,14,787,1,91.16899618805591
2,27,28,2,245,2,70.0
0,15,62,42,809,1,86.95920889987639
0,46,71,66,727,2,76.20357634112793
18,16,55,55,111,0,0.0
10,39,67,62,312,0,43.42948717948718
4,27,34,14,161,2,44.409937888198755
11,11,2,108,814,1,88.39066339066339
2,26,6,115,760,0,85.98684210526316
0,41,26,91,227,1,41.409691629955944
0,46,0,137,997,1,86.2086258776329
7,29,90,46,75,2,0.0
9,40,79,56,459,0,59.694989106753816
10,33,70,49,807,0,79.67781908302354
11,36,43,70,580,2,73.44827586206897
12,5,86,142,826,1,77.17917675544794
11,6,40,145,366,1,60.79234972677596
13,31,74,81,581,0,67.81411359724612
1,31,41,115,155,2,5.161290322580641
18,24,32,104,798,2,80.45112781954887
17,32,49,87,867,1,79.87312572087659
2,6,62,1,513,1,85.28265107212476
16,11,99,103,295,2,32.54237288135593
7,15,36,83,130,0,12.307692307692307
9,15,58,42,711,1,83.19268635724332
1,42,80,70,958,2,81.21085594989562
18,35,98,93,445,2,47.640449438202246
8,12,47,41,571,2,82.22416812609457
6,6,4,132,882,0,89.68253968253968
3,35,47,138,785,1,77.77070063694268
17,46,95,64,975,1,76.41025641025641
12,8,2,33,313,1,82.58785942492013
10,31,46,119,710,0,75.77464788732394
3,10,61,0,839,1,90.22646007151371
3,7,98,129,323,1,44.582043343653254
9,32,13,147,755,1,79.80132450331126
4,22,62,60,993,1,86.6062437059416
8,24,60,148,221,0,15.83710407239819
2,7,30,87,314,2,71.97452229299363
16,44,94,67,871,2,74.11021814006888
2,21,16,126,75,1,0.0
15,3,23,139,518,1,75.48262548262548
3,39,22,21,911,1,89.3523600439078
17,2,81,147,525,0,63.52380952380952
16,28,49,81,405,1,59.629629629629626
6,40,77,128,75,0,0.0
4,28,78,29,83,1,0.0
11,33,78,125,313,1,32.26837060702876
16,33,69,96,187,2,0.0
12,27,26,23,865,1,88.20809248554913
2,12,14,13,744,0,94.28763440860214
8,14,49,35,924,2,88.7987012987013
16,22,35,23,803,0,86.11457036114571
16,43,7,94,615,2,75.52845528455285
19,25,78,54,511,0,64.67710371819962
15,3,2,23,217,2,77.88018433179724
12,25,61,25,680,0,80.14705882352942
18,39,46,79,704,0,74.43181818181819
16,8,76,64,130,1,0.0
3,4,97,74,806,2,81.88585607940448
11,31,87,42,963,2,81.67185877466251
8,19,95,28,913,1,83.18729463307777
18,49,60,80,919,0,77.20348204570185
11,10,31,53,456,0,79.27631578947368
8,14,93,38,623,2,76.08346709470305
6,31,12,41,95,0,4.21052631578948
13,27,0,28,648,2,87.57716049382717
19,21,33,130,660,2,74.62121212121212
18,40,61,137,856,0,73.65654205607476
14,16,78,141,960,0,79.11458333333333
15,25,77,41,102,0,0.0
4,43,92,93,753,1,71.97875166002656
2,6,97,31,525,2,76.0952380952381
11,41,81,25,641,0,72.38689547581903
19,25,70,114,65,1,0.0
3,24,92,128,409,0,51.58924205378973
15,9,30,55,536,2,81.15671641791045
6,44,63,121,887,1,77.28297632468997
12,18,24,105,755,2,83.11258278145695
9,10,37,129,551,0,75.58983666061707
6,12,13,80,190,0,56.315789473684205
13,7,7,119,669,0,84.60388639760838
4,39,90,51,864,1,78.93518518518519
2,3,53,90,826,1,87.10653753026634
10,46,1,136,496,1,68.14516129032258
10,30,80,21,339,1,54.12979351032449
17,27,77,33,258,0,34.883720930232556
14,10,88,109,524,0,64.59923664122138
11,42,55,48,462,0,64.5021645021645
8,0,93,128,726,1,76.17079889807162
9,48,92,72,476,1,54.20168067226891
11,46,83,83,903,0,76.13510520487264
16,37,84,52,420,0,52.976190476190474
5,23,60,99,881,1,82.51986379114642
6,46,21,123,713,2,77.0687237026648
13,30,34,44,339,0,62.53687315634218
12,40,15,136,481,0,65.28066528066529
7,45,49,104,317,0,42.42902208201893
9,49,42,149,200,1,0.0
8,25,16,145,768,0,81.51041666666666
17,48,79,105,304,0,21.875
1,49,57,42,402,0,61.81592039800995
4,4,1,133,426,0,80.86854460093896
4,19,3,47,702,0,91.02564102564102
5,40,84,125,904,2,76.05088495575221
18,10,38,6,407,2,77.39557739557739
7,32,97,15,657,0,74.65753424657534
15,49,93,128,990,0,73.68686868686869
12,37,5,114,419,0,66.22911694510739
0,26,80,36,276,0,50.36231884057971
19,33,88,124,754,1,68.50132625994695
16,14,68,80,352,1,54.26136363636363
6,31,68,61,875,1,82.05714285714285
12,20,19,71,438,2,75.22831050228311
3,45,63,124,426,0,53.4037558685446
3,4,15,65,167,1,64.37125748502994
5,5,50,29,54,0,0.0
18,37,36,19,493,0,72.21095334685599
11,21,72,81,401,2,58.60349127182045
6,17,68,106,804,2,80.28606965174129
9,13,41,131,582,1,75.25773195876289
18,9,56,36,713,1,82.6788218793829
6,45,65,131,689,2,69.5210449927431
2,12,8,76,173,2,60.69364161849711
12,30,99,88,707,0,70.01414427157002
12,29,85,145,326,0,30.981595092024534
17,2,63,87,871,1,83.52468427095293
19,29,85,32,443,1,58.80361173814899
7,5,21,57,713,2,90.04207573632539
8,28,33,27,409,1,74.44987775061125
6,7,54,34,672,0,86.08630952380952
0,43,28,124,518,2,70.17374517374517
2,44,37,137,677,0,74.0768094534712
12,42,96,64,749,2,71.29506008010681
16,43,17,41,106,2,0.0
0,32,70,84,300,0,46.666666666666664
5,16,64,136,945,1,82.43386243386243
5,47,96,110,968,1,76.08471074380165
11,10,0,14,199,1,77.8894472361809
12,12,87,68,501,1,67.46506986027944
12,49,3,104,211,0,27.72511848341233
14,10,3,149,169,2,28.698224852071007
15,30,81,63,631,0,70.28526148969888
10,27,26,40,973,1,89.05447070914697
4,43,42,70,400,1,62.625
3,5,58,55,148,0,33.1081081081081
2,40,31,24,216,2,50.46296296296296
18,15,32,104,859,0,83.41094295692666
19,3,27,133,712,0,80.89887640449439
17,34,54,118,887,0,77.67756482525367
14,47,99,8,563,2,64.20959147424512
8,25,59,59,713,0,80.08415147265077
16,11,69,124,450,0,60.11111111111111
13,10,61,48,414,1,69.56521739130434
14,36,79,50,626,0,70.28753993610223
0,24,33,69,375,1,72.4
2,17,86,36,630,1,78.80952380952381
15,18,87,30,682,1,76.68621700879766
10,22,55,61,670,2,79.32835820895522
11,37,12,92,877,1,84.54960091220069
9,17,55,13,296,0,64.52702702702703
15,25,17,78,483,0,74.43064182194617
7,5,53,7,142,1,45.070422535211264
5,3,76,35,317,1,65.93059936908517
11,43,42,47,664,0,77.10843373493975
7,28,38,84,992,1,86.29032258064517
3,33,60,27,673,2,80.83209509658246
7,16,41,50,370,1,71.89189189189189
17,42,80,103,972,2,76.4917695473251
4,42,78,100,865,2,76.99421965317919
8,15,17,28,905,2,92.32044198895028
3,1,22,126,111,1,16.666666666666657
16,33,53,81,349,2,49.8567335243553
8,7,29,9,452,2,86.72566371681415
0,12,97,105,697,1,75.96843615494979
19,41,57,0,616,2,74.59415584415585
12,7,67,38,669,1,81.9880418535127
15,29,66,20,352,0,57.528409090909086
12,31,70,64,819,2,78.93772893772893
13,35,17,14,302,1,66.05960264900662
2,46,6,131,783,0,81.54533844189017
5,29,39,60,527,2,76.75521821631878
17,0,69,147,418,2,57.77511961722488
18,42,85,137,728,1,65.31593406593407
4,38,64,86,990,0,82.62626262626263
14,16,67,104,209,1,18.181818181818173
1,19,48,33,215,2,55.81395348837209
9,23,51,123,254,2,35.03937007874016
17,49,28,109,316,2,39.87341772151899
12,21,20,32,187,2,51.06951871657754
4,28,89,97,417,0,55.03597122302158
0,21,77,60,492,0,71.84959349593495
0,43,8,9,907,1,91.51047409040794
17,8,46,83,809,1,83.4981458590853
14,36,75,64,616,1,69.31818181818181
16,9,41,76,965,2,87.09844559585493
10,35,50,0,770,1,84.0909090909091
16,36,55,132,66,0,0.0
12,27,50,79,117,1,0.0
0,27,69,14,182,1,35.98901098901099
1,41,19,27,749,0,87.18291054739653
8,42,87,22,968,0,81.71487603305785
2,20,26,108,479,2,76.20041753653445
0,23,37,106,357,0,65.12605042016807
15,41,71,144,699,0,66.45207439198856
5,39,64,112,223,1,15.470852017937219
16,1,53,97,461,0,70.71583514099783
4,7,23,140,146,2,23.630136986301366
4,47,46,141,732,1,73.36065573770492
5,26,70,138,203,2,7.389162561576356
2,21,82,27,744,0,82.39247311827957
4,36,85,41,291,2,42.43986254295533
4,26,62,98,353,2,55.240793201133144
9,28,56,60,334,0,56.287425149700596
9,2,54,122,76,0,0.0
18,43,59,63,451,1,57.649667405764966
16,12,98,30,409,1,60.14669926650367
13,44,61,80,109,1,0.0
8,9,29,9,251,0,74.9003984063745
13,35,92,7,811,2,78.54500616522812
0,8,21,148,923,2,88.40736728060672
18,26,74,58,630,1,71.74603174603175
12,33,83,29,419,1,59.18854415274463
12,0,28,144,582,0,78.69415807560138
3,31,40,19,201,2,49.25373134328358
0,24,41,47,151,1,33.443708609271525
16,28,97,129,948,0,75.15822784810126
7,6,64,36,656,1,83.9939024390244
1,48,30,128,495,0,66.06060606060606
7,2,29,131,922,2,87.90672451193059
6,19,17,99,278,0,61.510791366906474
1,19,16,53,174,1,58.04597701149425
2,29,37,121,819,1,82.29548229548229
17,34,13,24,883,2,87.54246885617214
11,34,86,130,930,2,75.91397849462365
0,48,88,8,987,1,83.38399189463019
11,38,78,33,285,1,39.122807017543856
4,26,55,42,211,1,41.70616113744076
16,25,21,73,603,2,78.93864013266997
15,13,66,93,837,1,80.64516129032258
14,16,55,21,402,2,70.77114427860697
14,17,18,69,117,1,9.401709401709397
4,44,56,129,222,0,12.387387387387378
13,28,43,93,892,0,82.34304932735427
1,19,97,31,686,1,79.15451895043732
10,26,34,105,731,0,80.09575923392613
18,17,0,143,608,2,78.125
6,3,51,0,310,0,78.2258064516129
5,0,84,71,266,0,51.31578947368421
1,49,92,49,866,2,77.82909930715935
5,0,69,140,173,0,13.872832369942202
17,25,36,14,854,0,86.59250585480093
1,44,64,52,211,1,25.118483412322277
17,19,50,7,250,2,53.599999999999994
14,22,0,73,503,2,80.61630218687873
18,9,90,45,451,1,64.07982261640798
1,10,20,68,511,1,86.10567514677103
19,40,52,113,324,0,36.26543209876543
5,40,15,146,255,0,38.03921568627451
0,4,60,122,89,0,0.0
14,0,53,138,322,1,53.41614906832298
9,16,39,116,749,2,81.44192256341789
18,21,25,42,916,0,87.60917030567686
16,33,79,19,142,1,0.0
4,44,91,147,91,2,0.0
3,40,64,20,514,1,72.76264591439688
9,28,99,81,428,0,53.387850467289724
16,3,73,56,156,1,11.858974358974365
9,4,63,73,377,1,67.24137931034483
16,10,42,97,114,1,0.0
19,20,16,109,414,1,66.54589371980677
4,34,58,114,870,2,80.0
1,11,22,41,533,0,88.55534709193246
5,25,6,67,696,2,87.5
1,18,43,69,950,1,88.78947368421052
12,44,52,77,73,1,0.0
10,6,70,89,589,0,75.63667232597624
10,46,78,110,111,0,0.0
15,6,33,111,540,2,76.38888888888889
10,25,45,102,322,2,52.329192546583855
18,39,67,144,278,0,16.00719424460432
14,4,77,18,69,2,0.0
15,20,77,69,52,1,0.0
10,13,15,62,470,1,81.80851063829788
15,3,70,74,779,0,81.83568677792042
7,22,95,103,960,2,79.84375
3,41,18,74,356,1,65.58988764044943
7,19,1,127,481,0,77.75467775467776
3,14,9,55,185,2,65.67567567567568
2,49,49,21,958,1,85.69937369519833
2,44,80,88,993,2,80.46324269889224
17,28,11,18,564,2,82.97872340425532
18,7,69,25,242,2,47.107438016528924
18,40,21,22,634,0,79.81072555205047
4,47,31,46,464,1,71.44396551724138
17,18,83,12,922,0,83.73101952277658
9,47,0,65,167,1,27.54491017964071
5,38,53,143,715,1,73.21678321678321
0,45,57,72,258,0,37.7906976744186
