element_type,has_alt,has_label,has_aria,contrast_ratio,is_interactive,issue_severity
textarea,0,0,0,13.523589058490295,1,serious
input,1,1,0,6.735914583770796,1,moderate
a,1,1,0,20.384982776450173,1,moderate
img,0,0,1,13.173684412070019,1,serious
a,0,0,0,8.988033174822672,0,minor
select,1,1,0,13.900196309831347,0,minor
input,1,1,1,8.908100210594153,0,minor
input,0,1,0,17.355913619588378,1,moderate
img,1,0,1,12.356819211034425,0,minor
input,1,0,0,1.8394100681213401,0,serious
div,0,1,1,4.535137348469215,1,minor
input,1,0,1,18.29987946059069,0,serious
a,1,0,1,12.257996527135798,0,minor
a,0,0,1,20.006869530278102,1,minor
textarea,0,1,1,2.448446257213696,0,critical
a,1,1,0,6.905212601719478,1,moderate
textarea,0,0,1,4.870867464791452,1,serious
a,1,0,1,12.076805844574725,0,minor
div,0,0,1,8.655856621598186,0,minor
textarea,1,0,1,4.145470681527865,0,serious
button,0,0,0,13.855038279190937,1,moderate
select,1,1,1,11.72596731594373,1,minor
img,1,0,0,6.494725025926019,0,minor
a,1,0,1,10.595427155647556,0,minor
input,0,0,1,15.91476630082379,1,serious
a,0,1,0,5.105433491013171,0,minor
input,1,1,0,6.858114934034582,0,minor
select,1,0,0,7.922219741882303,1,serious
select,0,1,1,15.934528744020632,0,minor
select,0,1,0,17.93845199101814,0,minor
input,0,1,1,8.527769928832218,0,minor
a,0,1,0,6.932417236678365,0,minor
select,0,1,0,18.788935167033543,1,moderate
div,0,1,1,20.987298643853574,1,minor
textarea,1,0,0,14.407072793235981,1,serious
input,0,1,0,20.799612299783615,1,moderate
input,1,1,1,14.1993255560382,0,minor
a,0,0,1,15.6692054401565,0,minor
input,0,0,1,8.773120030870274,0,serious
input,1,0,0,9.65935093998107,0,serious
select,1,0,0,3.882713279787903,1,serious
a,0,1,0,17.455000295302465,0,minor
select,1,1,0,19.621180617744002,0,minor
textarea,1,1,0,13.46876267388224,1,moderate
textarea,1,1,1,7.872946168907969,1,minor
select,1,0,0,4.080326507487325,1,serious
textarea,0,1,1,6.303124594106299,0,minor
a,1,1,0,6.108208417036866,1,moderate
img,0,0,1,13.270557683271461,0,serious
select,0,1,0,19.90074930727209,0,minor
div,0,1,0,1.9654377391596292,1,critical
div,0,1,1,1.02044599188896,1,critical
input,1,1,0,13.003638886286511,1,moderate
textarea,1,0,1,6.6812092415943045,0,serious
div,0,0,0,18.61096684677914,0,minor
input,0,0,0,7.54500615811634,0,serious
img,0,0,1,6.7947520105777865,1,serious
a,0,0,0,6.390212424365945,0,minor
a,1,1,1,3.897056545364882,0,moderate
a,0,1,0,12.630609485542212,0,minor
div,1,0,0,4.3642720466842,0,moderate
img,0,0,0,9.492623195805818,1,serious
div,0,0,0,10.219441045112976,0,minor
textarea,0,1,0,1.4098409375594891,1,critical
div,0,0,0,1.33614559642285,1,critical
img,1,1,0,11.404253775136585,0,minor
img,1,1,1,14.920694644582646,0,minor
textarea,1,1,0,19.842849645608094,1,moderate
img,0,1,0,4.582385683139102,0,serious
img,0,0,0,3.0651761887216513,1,serious
a,1,1,1,2.0417581385430186,0,critical
textarea,1,1,1,9.720831658259005,0,minor
button,0,0,0,13.462947346719137,1,moderate
button,0,1,0,17.811067135025283,0,minor
img,1,1,0,14.652897645862627,1,moderate
button,0,1,1,5.167215781497147,1,minor
button,0,0,0,10.23540732792558,0,minor
img,1,1,1,19.206926926173107,1,minor
button,0,1,0,7.5348212495474245,0,minor
div,1,0,1,10.97460730183863,0,minor
input,0,0,1,20.171306692873934,0,serious
textarea,1,1,0,15.694160111473952,1,moderate
input,0,1,0,15.95480771283384,0,minor
img,1,0,0,6.046680088264552,0,minor
a,1,1,0,9.293962366102562,1,moderate
textarea,1,0,0,2.646843261934434,1,serious
img,1,1,0,13.130517341010673,1,moderate
a,0,0,0,3.0746032908498835,1,moderate
input,0,1,1,17.718191644119095,0,minor
img,1,0,0,17.291075740399936,0,minor
textarea,0,0,0,11.67210202244619,0,serious
textarea,0,0,1,3.823320663940594,0,serious
select,0,0,0,1.5115796639033632,1,serious
div,0,0,0,16.93417335085145,1,moderate
button,0,1,0,13.002809664268536,0,minor
a,1,1,0,15.218592734957667,1,moderate
select,1,0,1,7.076142514727351,1,serious
button,1,1,1,11.18965475687829,1,minor
button,1,1,0,15.943483410793007,1,moderate
img,0,1,0,10.251266166275991,1,serious
button,0,1,1,13.027684455374619,0,minor
div,1,1,0,16.794565236159244,0,minor
textarea,0,1,1,5.3044129053275775,1,minor
select,0,0,1,2.3185777871496462,1,serious
button,1,1,1,11.636470216216104,0,minor
img,0,1,0,2.2425154144019146,0,serious
div,1,1,0,16.331145887335065,1,moderate
input,1,0,0,15.384228952675773,1,serious
textarea,0,1,1,18.63425342930594,1,minor
textarea,0,1,0,13.791241960679212,0,minor
select,1,1,0,2.343951415047475,1,critical
textarea,1,0,1,6.063042509792348,1,serious
button,0,1,0,17.158636891254385,1,moderate
img,1,0,0,4.342648346271755,1,moderate
textarea,1,1,0,14.969609356297747,1,moderate
textarea,1,0,1,16.605186618409558,1,serious
input,0,0,0,7.602235957104822,1,serious
input,1,0,1,7.44594946805817,1,serious
a,0,1,1,12.156053624182938,0,minor
div,1,0,1,18.225726655095276,0,minor
button,0,0,0,5.478124038269611,0,minor
textarea,1,0,0,19.825163920848055,1,serious
textarea,0,0,0,12.982373696402163,0,serious
img,0,1,1,20.842529427045523,0,serious
a,0,1,1,2.7922744799064527,0,critical
div,1,1,0,3.5312427301351814,0,moderate
a,1,1,1,17.532836074269653,0,minor
select,1,0,0,18.295117912076986,1,serious
div,0,1,0,9.909173767418679,0,minor
textarea,1,0,0,15.2814235228467,1,serious
textarea,0,1,0,18.35114574891077,1,moderate
div,1,1,0,1.8625557643765736,0,critical
textarea,0,1,0,12.479008459865172,1,moderate
button,0,0,0,18.06961333052979,0,minor
div,0,1,1,8.963098891695498,1,minor
a,1,1,0,7.047672122248537,1,moderate
div,1,1,1,16.914133701896752,0,minor
textarea,1,0,1,7.715731670056724,1,serious
button,0,1,0,1.0634859636900642,1,critical
button,0,1,1,20.191451752581315,1,minor
select,1,0,1,12.84246472702037,1,serious
a,1,0,1,17.390358374201423,1,minor
input,1,1,0,17.506031246854292,1,moderate
input,0,1,0,2.3282084074546563,1,critical
div,0,1,0,4.417203987729296,1,moderate
select,0,0,0,7.222413615192948,0,serious
img,0,0,0,7.413985700826457,1,serious
div,0,0,1,14.175722353618259,0,minor
select,1,1,1,13.462658415053696,0,minor
a,0,0,0,10.891795560196275,1,moderate
a,0,1,1,5.225274646175359,1,minor
a,0,0,1,8.639669393806068,0,minor
a,0,0,1,11.87187936930339,0,minor
a,0,0,1,10.359707322078838,0,minor
select,1,1,0,3.5458506619015675,1,moderate
select,0,1,0,13.990209870038477,1,moderate
button,0,1,0,2.461035536213211,1,critical
input,0,1,1,8.563893661621606,0,minor
textarea,1,0,1,15.200586953504581,1,serious
a,1,1,0,1.4004706903941302,1,critical
img,1,0,0,12.399656380906322,1,moderate
textarea,0,1,1,7.690419482865946,1,minor
select,1,1,0,1.1766368684546893,0,critical
img,0,0,0,4.807665421219437,1,serious
img,0,0,1,19.81892386541309,1,serious
img,1,1,1,11.422978110101809,0,minor
button,0,1,0,20.944544092582635,1,moderate
select,0,0,1,11.496335007294824,0,serious
img,0,0,0,11.878728245805364,0,serious
a,1,0,1,8.836860258657047,1,minor
div,0,0,1,7.200808374628286,0,minor
img,0,0,0,6.030911062658896,1,serious
button,1,1,1,7.8684123226134774,0,minor
textarea,0,1,0,10.197021618008643,0,minor
select,0,1,1,4.8398390046158015,1,minor
button,1,1,0,5.497501836113917,0,minor
img,0,0,1,6.430895373368783,1,serious
select,0,0,1,9.985197838616783,1,serious
div,0,0,0,14.056267336284861,1,moderate
img,0,1,1,18.122923005725745,1,serious
button,0,0,0,6.742636743742866,0,minor
input,1,0,1,4.674566806828747,1,serious
a,1,1,1,8.5769492970111,0,minor
textarea,1,1,0,18.887661527437114,1,moderate
button,1,1,1,1.1972145667427894,0,critical
select,0,0,1,14.557372321154908,0,serious
img,0,0,0,10.54320092823163,0,serious
a,0,1,1,4.220924299213602,0,moderate
img,0,1,0,7.4204305254893335,1,serious
select,0,0,0,5.499000877540677,1,serious
img,1,1,0,18.556643357802447,0,minor
input,1,0,1,10.637467678899805,0,serious
a,0,1,1,12.261885557449855,1,minor
a,0,1,0,12.873752386740414,0,minor
select,0,1,1,13.792342492047123,0,minor
textarea,1,0,0,10.9111138075186,1,serious
input,0,0,1,1.3574706167263164,0,serious
button,0,1,0,7.6944537382930385,0,minor
img,0,0,0,4.6774648144198245,1,serious
div,1,1,1,14.602856858233539,0,minor
img,0,1,0,2.134093027400933,1,serious
img,1,0,0,12.276067822232886,1,moderate
button,1,0,1,5.212634445486019,1,minor
img,1,0,0,19.976916769341223,1,moderate
input,1,0,0,7.71081884373071,0,serious
input,1,1,1,7.504423827492685,1,minor
a,1,0,0,19.467693359814476,1,moderate
select,0,0,0,9.346958406082827,0,serious
textarea,0,1,0,20.257246683714843,1,moderate
div,0,1,0,1.4834070426700698,0,critical
img,1,1,0,7.126891504042926,1,moderate
img,0,1,0,14.323859205328624,1,serious
button,1,0,0,18.81713929055277,1,moderate
select,1,0,0,6.128111860165678,1,serious
input,1,1,1,19.609551839273365,0,minor
div,0,1,0,12.882429329983763,0,minor
a,1,0,0,17.02016486395832,0,minor
input,1,0,1,8.944146086137945,1,serious
select,0,0,0,5.2436076513374665,1,serious
textarea,0,0,0,19.224708308953865,1,serious
a,1,0,0,19.662717368124373,0,minor
textarea,1,1,0,10.95150288308271,1,moderate
button,0,1,0,1.12990031998513,0,critical
button,0,1,0,3.1956590734080894,0,moderate
img,0,1,1,12.460559204634436,0,serious
textarea,1,0,1,1.4755340460377244,1,serious
select,0,1,1,8.938238479733906,1,minor
div,0,0,1,7.067398911440252,1,minor
a,0,0,1,15.286965508044094,1,minor
input,1,0,0,2.1115734589587056,0,serious
select,0,0,0,10.77462537954575,0,serious
select,0,0,0,12.582285397512106,1,serious
button,0,0,0,13.345821521052354,1,moderate
textarea,0,0,0,9.103153440338817,1,serious
img,0,1,1,7.0873556685910195,0,serious
img,1,0,1,14.649860674742975,1,minor
a,1,1,0,17.9513809620499,0,minor
button,1,1,0,14.872352755657575,0,minor
select,0,0,0,19.64204730914443,0,serious
div,1,0,1,15.345270507158542,0,minor
button,1,1,1,16.292374680272367,0,minor
a,1,1,0,4.358063932041777,0,moderate
a,0,1,1,9.390792890534236,0,minor
button,0,1,0,10.701106619119304,1,moderate
a,1,0,1,6.125863245892153,1,minor
button,1,0,1,11.570797207125757,1,minor
input,0,0,0,6.81583888443695,0,serious
button,0,1,1,14.75004185608832,0,minor
textarea,1,0,1,10.405769534063516,1,serious
button,0,1,0,10.176139085380711,0,minor
a,1,0,1,20.672850620656234,0,minor
textarea,0,1,0,8.84889697085141,0,minor
a,1,0,1,8.245908651791366,0,minor
img,1,0,0,7.372087425653088,0,minor
img,0,1,0,18.894984419515964,0,serious
textarea,1,1,1,10.934476521963564,0,minor
input,1,1,1,13.00028954961271,0,minor
img,1,1,0,4.6163695800479,0,minor
button,0,1,1,11.818847200098539,0,minor
a,0,0,1,6.492963857369766,0,minor
img,0,1,1,15.61273842525755,0,serious
img,1,0,0,17.650566975847642,1,moderate
input,0,0,0,15.296213842625551,0,serious
textarea,1,0,0,15.604883325405147,0,serious
textarea,1,0,1,11.24949408239034,1,serious
select,0,0,1,15.242361126682706,1,serious
input,0,1,0,9.453738710163206,1,moderate
button,1,1,0,14.02978307059226,0,minor
textarea,1,0,1,6.180784202410294,0,serious
a,0,0,1,2.395140246240203,1,critical
input,0,1,1,9.26946528243937,1,minor
img,0,1,1,10.2355631156098,1,serious
a,1,0,0,6.1281431637737995,0,minor
a,1,1,1,15.554190368144752,0,minor
img,1,1,1,2.471009579525584,1,critical
input,1,1,0,5.454966487583771,0,minor
img,1,0,0,15.971294369072536,0,minor
select,0,1,1,9.742485474800247,1,minor
a,0,0,0,15.105672480786248,1,moderate
div,1,0,1,12.349717555671926,1,minor
div,1,0,1,20.014254999947248,0,minor
button,0,0,0,12.95591665445666,0,minor
textarea,0,0,0,1.297379486910394,0,serious
img,0,1,1,8.05754701008668,0,serious
img,0,0,0,3.861213644094154,0,serious
button,1,0,1,19.492673551954063,1,minor
button,0,0,1,3.0802490857016065,0,moderate
button,1,1,1,8.75413326262175,0,minor
a,0,1,0,5.521983872533843,1,moderate
select,0,1,1,17.934439807934666,1,minor
img,0,1,1,7.17132995177834,1,serious
a,1,1,1,20.8378696628529,1,minor
button,1,1,0,1.7723321122450177,0,critical
img,0,1,1,3.565535449251317,0,serious
a,1,0,1,5.492775528582182,1,minor
select,1,0,1,17.22212080400319,0,serious
a,0,1,0,18.570344181280316,1,moderate
select,0,0,1,2.429027612188447,0,serious
button,1,0,1,1.6492028352455281,0,critical
select,1,1,0,15.891137142091587,0,minor
img,1,0,0,3.6670401350722694,1,moderate
button,0,0,1,3.6599717414927837,1,moderate
img,0,1,1,1.4473306898885854,0,serious
div,1,0,1,1.9961575516684373,0,critical
input,0,1,0,6.273509171909783,1,moderate
select,0,1,0,2.300109788216126,1,critical
input,1,0,1,8.377581833185511,0,serious
input,1,0,0,17.65550062454698,0,serious
select,0,0,1,7.526405146431853,1,serious
button,0,1,1,15.556683251587433,0,minor
div,1,1,0,2.878199296620602,1,critical
img,0,1,1,14.187503748389858,1,serious
a,0,0,0,7.3349436651487,0,minor
img,1,0,0,15.995057573940763,0,minor
a,1,1,1,3.7250402811276375,0,moderate
img,0,0,0,18.95766755528964,1,serious
select,0,0,1,5.851544057958732,1,serious
div,0,1,0,8.06275586562353,1,moderate
a,1,1,1,20.003614216360834,0,minor
textarea,0,0,1,12.569647194617179,0,serious
button,0,1,1,8.31543037926044,1,minor
img,1,0,0,19.992042940672633,1,moderate
img,1,1,1,7.5815483378006405,0,minor
a,0,1,0,2.8974142535035954,1,critical
button,1,1,0,20.936977757188398,0,minor
button,1,0,0,6.3568984111782765,0,minor
select,0,0,0,18.025156973992146,1,serious
textarea,1,1,0,4.310815896461746,1,moderate
select,1,1,1,15.62707943554756,1,minor
select,0,1,0,11.48898788944504,1,moderate
select,1,0,1,20.61813116580259,1,serious
select,0,1,1,12.056607121847989,0,minor
select,0,1,0,1.5003030378170825,1,critical
div,1,1,1,13.077559792481757,0,minor
button,1,1,1,3.906329126732521,1,moderate
select,1,0,0,16.970818305641743,1,serious
button,0,0,1,18.13136392979798,1,minor
button,1,1,0,10.641870375894285,1,moderate
input,0,0,0,16.66442914104597,1,serious
div,1,0,0,3.9022147096321027,1,moderate
select,1,0,1,10.84156373071292,0,serious
img,1,1,1,8.878885293811692,1,minor
a,0,0,1,13.226347741061627,1,minor
textarea,1,0,1,1.8895437760631997,1,serious
img,1,0,0,16.04245676497255,1,moderate
div,0,1,0,2.5825857894936735,0,critical
a,0,1,1,14.129430350603297,0,minor
div,1,0,0,1.3691445107988844,0,critical
button,1,0,1,17.63776127513459,0,minor
a,1,1,0,4.493992604475626,0,moderate
button,0,1,0,11.30994951953981,0,minor
img,0,0,0,6.2298580745523875,1,serious
img,0,0,0,15.45294404122137,1,serious
a,0,1,0,7.427022003794425,0,minor
a,1,1,1,15.492183871766343,1,minor
select,0,0,1,6.697424136709531,1,serious
div,0,1,0,16.0494618187152,1,moderate
select,0,0,1,1.6121099267380847,1,serious
div,1,0,0,6.666226707476969,1,moderate
select,1,0,0,10.972670128805579,0,serious
button,0,1,0,1.9011916383945096,0,critical
a,0,0,0,4.7206812274255725,0,minor
img,1,0,1,19.690739632824066,0,minor
div,1,1,0,20.536685303603786,0,minor
div,1,1,1,15.794998947809713,0,minor
img,1,0,0,6.044001012338257,1,moderate
select,1,0,0,6.21034890871938,0,serious
div,1,1,1,13.915807155901458,1,minor
textarea,1,1,0,3.3519923319740355,1,moderate
button,1,1,0,19.96618760860733,0,minor
a,0,0,1,5.496257990203691,0,minor
img,0,0,1,20.992712508508877,0,serious
a,0,0,1,10.914675906049208,1,minor
textarea,0,1,0,16.42859977985873,0,minor
div,0,0,0,1.0436818901111447,0,critical
div,0,1,1,18.774928095032838,0,minor
textarea,1,0,1,6.400040895611609,1,serious
img,1,1,0,14.358734890961305,0,minor
button,0,0,0,17.12710561587179,0,minor
input,0,0,1,4.282954811180041,1,serious
img,1,1,1,9.85018962658458,1,minor
input,1,1,1,10.876718813038467,1,minor
textarea,1,0,1,7.242389306784091,0,serious
select,0,1,0,10.635116594579628,0,minor
input,1,1,0,7.350913153106761,1,moderate
button,0,0,0,8.214954901104186,0,minor
select,0,1,0,14.386623574054779,1,moderate
input,1,0,1,13.65186536609994,1,serious
textarea,1,0,0,5.6453145159505045,1,serious
select,0,1,1,18.949657695908492,1,minor
textarea,1,1,0,18.255770913427813,1,moderate
input,1,0,0,11.181666133799032,0,serious
textarea,0,0,0,9.665014853915007,0,serious
button,1,0,1,8.537119659682176,0,minor
input,0,0,0,15.145358373328783,0,serious
input,0,0,1,14.43332114418941,1,serious
input,1,0,1,4.923612138759573,0,serious
img,0,1,0,14.429160626007226,1,serious
img,0,1,1,6.048623882040799,1,serious
img,1,1,0,1.3711667304705113,0,critical
button,1,0,1,14.98417355074754,0,minor
select,1,1,0,13.895872049214992,1,moderate
textarea,0,0,1,9.216185247486829,0,serious
div,0,0,1,11.513721118390123,0,minor
input,1,1,0,19.943383834115192,0,minor
textarea,0,0,0,12.904003618108753,0,serious
input,1,0,0,14.157678706730628,1,serious
button,1,0,0,2.278226418982822,1,critical
input,0,0,1,4.319889213502504,0,serious
img,1,0,1,7.019045528231763,1,minor
div,0,0,1,11.787586360562862,1,minor
a,0,1,1,16.531817919666423,0,minor
input,1,0,0,7.424817555771741,0,serious
textarea,0,0,1,8.127648609575479,1,serious
img,1,0,0,6.123017703474977,1,moderate
a,0,0,1,6.092186585906118,1,minor
div,0,1,0,19.97727691789593,0,minor
a,0,1,0,13.709143592377801,1,moderate
img,1,0,0,4.118024870798937,1,moderate
select,0,0,0,15.444971561685199,0,serious
select,1,0,0,15.44042286720058,1,serious
a,0,1,1,14.329403921074102,0,minor
button,0,1,0,3.694408901813272,0,moderate
textarea,1,1,1,9.159829669391739,1,minor
textarea,1,1,1,3.1351266098882626,0,moderate
a,1,0,0,17.33241008184273,0,minor
input,1,1,1,14.103442863558385,1,minor
input,1,1,1,11.144078735356368,0,minor
textarea,0,0,1,7.860309530011932,1,serious
textarea,0,0,0,4.684989489888668,0,serious
select,1,1,0,3.128951776662158,0,moderate
button,0,1,0,20.384812150737993,1,moderate
img,0,1,0,4.992972839120461,1,serious
input,0,1,1,2.197492534427713,1,critical
textarea,1,0,1,20.233335443649928,0,serious
select,0,0,1,11.979034827156543,1,serious
div,0,1,1,16.93313469982286,0,minor
select,0,1,1,1.875316943966371,1,critical
input,1,1,1,12.338917149593094,0,minor
input,0,1,0,8.964199282359903,1,moderate
select,0,1,1,16.43928868699767,0,minor
img,1,0,1,1.7685129127811718,1,critical
a,1,0,1,9.033811371232286,0,minor
input,0,0,0,16.981468389723922,0,serious
select,0,1,1,11.453945292767399,0,minor
textarea,1,1,1,12.00077481997208,0,minor
select,1,0,0,2.94329363931931,1,serious
button,1,0,1,3.6466111224018274,0,moderate
a,1,1,0,14.539992107315717,1,moderate
div,1,0,0,14.500932445798398,0,minor
img,1,1,1,20.58206788504547,1,minor
div,1,1,1,15.239059761311008,0,minor
a,0,0,0,10.864869918668946,0,minor
a,1,0,1,18.146556470671058,1,minor
a,1,0,1,3.0894597163187245,1,moderate
div,0,1,0,9.98591641792509,0,minor
textarea,1,1,0,6.742182218551395,1,moderate
a,1,0,1,3.0927561385525117,1,moderate
select,0,1,0,16.270041694407325,1,moderate
div,1,1,1,11.215840609977677,0,minor
a,0,1,1,12.135374397949814,1,minor
select,0,0,1,9.22510375820658,0,serious
textarea,0,1,1,10.206744632054704,1,minor
button,0,0,0,3.3203477424600627,1,moderate
textarea,1,0,1,14.458356485739529,0,serious
a,0,1,0,9.648947192104275,1,moderate
div,0,0,1,17.335351462591664,1,minor
input,1,1,1,4.9257440028615225,1,minor
a,0,0,0,5.101101868376715,1,moderate
input,0,0,1,13.915191430613755,1,serious
select,0,1,0,17.92006846794794,1,moderate
button,0,0,0,10.443956772363507,1,moderate
img,1,0,1,15.539077374662,0,minor
textarea,0,0,1,20.98659842986171,0,serious
button,1,1,1,20.805312794578562,0,minor
a,1,1,1,15.886736856434002,0,minor
input,0,0,0,15.791729793564976,0,serious
textarea,0,0,1,5.952377743978113,1,serious
input,0,0,1,17.670792630875475,0,serious
div,0,1,1,9.102042540942412,0,minor
input,1,1,1,20.239878197336452,1,minor
div,1,0,1,2.62855377413871,0,critical
select,1,1,0,9.71680737745452,1,moderate
textarea,0,1,1,12.116809753669973,1,minor
textarea,1,1,0,9.103124141723297,0,minor
img,0,1,1,5.211583810098867,0,serious
a,0,0,1,12.859769775650197,1,minor
div,0,1,1,16.11835829250275,1,minor
img,0,1,0,13.896771920403928,0,serious
input,0,0,1,5.68897697616079,1,serious
input,1,0,0,15.63215888737048,0,serious
img,1,1,0,6.137956120891265,0,minor
textarea,0,1,1,4.5040472584808,0,minor
input,1,0,0,14.813360308774442,0,serious
select,0,0,1,17.855744922278582,1,serious
select,0,0,1,10.63078895393149,1,serious
img,0,1,0,11.627835862768755,0,serious
div,1,1,1,7.05495140942465,0,minor
div,0,0,1,10.892360302200645,1,minor
img,0,1,0,3.639659960248144,1,serious
div,1,0,0,20.1166165936598,1,moderate
textarea,1,1,0,17.007213073131926,1,moderate
textarea,1,0,0,14.359461216443695,1,serious
div,0,0,0,11.76388743368806,0,minor
select,0,1,0,16.84338272455929,0,minor
div,1,1,1,10.895144791716087,0,minor
textarea,0,1,0,6.99947816309065,0,minor
button,1,1,0,4.20748470333344,1,moderate
a,1,1,1,13.951711776036145,1,minor
input,0,1,1,19.58851490053028,0,minor
button,0,0,0,4.072371070087023,0,moderate
div,1,1,0,4.600360901016135,1,moderate
select,1,0,1,9.6721206681907,0,serious
img,1,0,0,17.13798695839378,0,minor
div,1,1,0,6.878454579430093,1,moderate
select,0,0,1,6.078258493400563,1,serious
a,1,0,0,13.399325829256679,1,moderate
div,1,1,1,11.712295637486637,0,minor
textarea,1,1,0,2.2044072889047253,1,critical
img,0,1,1,2.629799546185531,1,serious
select,0,0,1,13.860259603695322,0,serious
select,1,1,1,10.302471982955591,1,minor
select,0,1,0,20.41954383178294,0,minor
a,0,1,1,14.570628214601294,0,minor
div,0,1,0,1.201473239864629,0,critical
a,1,0,1,10.620375596009236,0,minor
input,1,1,1,9.288958700709589,1,minor
input,0,0,1,3.134277199875374,0,serious
div,1,1,0,19.464176717443802,1,moderate
textarea,1,0,0,17.100225981634473,1,serious
a,0,0,1,5.601718168400037,1,minor
img,0,0,0,6.119615176859944,1,serious
select,1,1,0,1.6403610663890191,1,critical
select,0,0,0,6.934349031580819,0,serious
div,1,1,1,12.692440178267072,1,minor
textarea,1,1,0,9.416867767733365,0,minor
input,0,1,1,20.385109274393617,0,minor
input,1,1,1,2.1216033852734175,0,critical
select,1,1,1,12.828603177980213,1,minor
div,0,0,0,18.166188810140962,1,moderate
a,0,1,1,10.614818248194453,1,minor
input,0,0,0,1.0592544112079363,1,serious
a,1,0,0,5.856029996525503,0,minor
textarea,0,0,1,7.475379513359323,1,serious
input,0,0,1,20.31988989114925,1,serious
input,0,0,1,19.235465636773988,0,serious
button,0,0,0,19.983410102152607,0,minor
input,1,0,0,17.515169152339368,0,serious
img,1,1,1,8.032954682278088,0,minor
div,0,0,1,19.117528441924012,0,minor
div,1,1,0,20.633690118740976,0,minor
a,0,0,0,8.001426245499058,0,minor
textarea,0,0,1,6.2111193197289785,1,serious
input,1,0,0,11.938325855644425,1,serious
img,1,0,0,4.7430438519786,0,minor
a,0,1,0,1.6524844281276043,0,critical
button,0,1,0,19.916623422317393,1,moderate
a,1,1,0,19.514812648828386,0,minor
a,0,0,0,4.253077075242421,0,moderate
input,1,0,1,9.154804938594388,0,serious
button,0,0,0,17.620726265453712,0,minor
a,0,1,1,14.22000597641706,0,minor
img,1,0,1,8.895750183414279,1,minor
img,1,1,0,15.88341994365638,0,minor
div,1,1,1,18.94094776420382,0,minor
button,1,0,1,19.52316661051736,0,minor
button,1,0,1,8.576992238443781,1,minor
div,1,1,0,4.471213601456378,1,moderate
a,1,1,1,19.2567771638795,0,minor
button,0,1,0,2.8511089172205653,0,critical
img,0,0,1,15.433767824563272,0,serious
img,0,0,1,3.8099462972160327,0,serious
input,1,0,1,8.787737093353844,1,serious
button,1,0,1,9.231114930900548,1,minor
a,1,0,0,4.175158302241668,0,moderate
div,0,0,1,19.45362868013224,0,minor
div,1,1,1,1.0533633601857253,1,critical
a,1,1,0,18.87617086433261,1,moderate
textarea,0,1,0,18.676586469509708,0,minor
select,1,0,0,7.339273073960032,0,serious
input,0,1,1,15.085685397585511,0,minor
div,0,0,0,6.05617822596631,1,moderate
button,1,0,0,16.175471245078768,1,moderate
input,1,1,0,12.222394835754868,1,moderate
button,1,0,0,7.004509084953167,1,moderate
textarea,0,1,0,9.004695072753092,0,minor
img,0,1,0,14.79777464476807,1,serious
input,0,0,1,19.12194899287566,1,serious
div,1,1,0,3.6145303313454926,1,moderate
